"","station","EHF_t","min_95","min_99","max_95","max_99","mean_95","mean_99"
"813",20024,21.6847222222222,18.5,22,36.5,40,27,30.25
"814",20025,23.1583333333333,19,22.5,37.5,41.5,27.5,31
"815",20026,21.9638333333333,19,22.5,37.5,41.1,27.75,31
"816",20032,23.8547222222222,19.5,23,37.5,41.5,27.75,31.5
"817",2005,2.43190972222222,27,28.5,40,41.5,33.5,34.5
"818",20053,20.4847222222222,21,24.5,38,41.5,29.25,32.25
"819",2007,2.87500000000001,27,28.5,40.5,42,33.5,34.75
"820",2009,2.19125,24,25.5,38,39.5,30.5,31.75
"821",2010,3.83993055555556,26,27.5,41,42.5,33,34.5
"822",2011,4.38343333333334,26.7,28.5,40.6,42.2,33.35,34.9
"823",2012,3.98145555555554,26.5,28.3,40.3,41.9,33.05,34.6
"824",2013,2.57604166666667,27,28,40.5,41.5,33.25,34.5
"825",2014,2.57601944444443,26.8,28,40.3,41.7,33.05,34.3
"826",2015,3.56749999999999,26,27.7000000000007,40.5,42,33,34.5
"827",2016,2.95187499999999,27.5,28.5,41,42.5,33.75,35
"828",2017,3.17291666666667,27,28.5,41.5,43,33.75,35.25
"829",2018,3.23,26,27.5,40.5,42,33,34.5
"830",2019,3.20298611111112,26.5,28,41,42.5,33.5,35
"831",2020,3.63406250000001,26,27.5,40,42,32.75,34.25
"832",2023,3.5921875,25.5,27.5,40.5,42,32.75,34.25
